Call_Date,Call_Time,province,district
18/09/2014,06:54:45,WEST,WESTERN URBAN
18/09/2014,07:12:55,NORTH,BOMBALI
18/09/2014,07:14:57,WEST,WESTERN URBAN
18/09/2014,07:23:12,WEST,WESTERN RURAL
18/09/2014,07:49:45,NORTH,PORT LOKO
18/09/2014,08:23:33,SOUTH,BO
18/09/2014,08:26:29,WEST,WESTERN RURAL
18/09/2014,08:26:40,NORTH,PORT LOKO
18/09/2014,08:38:34,NORTH,PORT LOKO
18/09/2014,08:43:35,SOUTH,BO
18/09/2014,08:46:59,WEST,WESTERN URBAN
18/09/2014,08:52:42,EAST,KONO
18/09/2014,08:58:53,WEST,WESTERN RURAL
18/09/2014,09:01:08,WEST,WESTERN URBAN
18/09/2014,09:03:05,WEST,WESTERN URBAN
18/09/2014,09:12:02,WEST,WESTERN RURAL
18/09/2014,09:14:14,WEST,WESTERN RURAL
18/09/2014,09:23:09,WEST,WESTERN URBAN
18/09/2014,09:26:43,WEST,WESTERN URBAN
18/09/2014,09:33:44,WEST,WESTERN RURAL
18/09/2014,09:37:45,WEST,WESTERN URBAN
18/09/2014,09:43:15,NORTH,BOMBALI
18/09/2014,09:49:11,EAST,KONO
18/09/2014,09:51:55,WEST,WESTERN URBAN
18/09/2014,10:02:26,WEST,WESTERN URBAN
18/09/2014,10:10:30,NORTH,PORT LOKO
18/09/2014,10:11:22,NORTH,PORT LOKO
18/09/2014,10:13:03,EAST,KONO
18/09/2014,10:13:03,WEST,WESTERN URBAN
18/09/2014,10:20:42,WEST,WESTERN URBAN
18/09/2014,10:21:55,WEST,WESTERN URBAN
18/09/2014,10:30:57,NORTH,BOMBALI
18/09/2014,10:35:59,NORTH,BOMBALI
18/09/2014,10:56:35,NORTH,BOMBALI
18/09/2014,11:03:43,WEST,WESTERN URBAN
18/09/2014,11:13:53,WEST,WESTERN RURAL
18/09/2014,11:15:56,WEST,WESTERN RURAL
18/09/2014,11:16:49,WEST,WESTERN URBAN
MEDICAL ATTENTION AND FOOD SUPPLY,ACTION,,
18/09/2014,11:17:49,WEST,WESTERN RURAL
18/09/2014,11:19:10,NORTH,PORT LOKO
18/09/2014,11:19:39,WEST,WESTERN RURAL
18/09/2014,11:21:26,WEST,WESTERN RURAL
18/09/2014,11:24:46,WEST,WESTERN URBAN
18/09/2014,11:32:40,NORTH,BOMBALI
18/09/2014,11:35:16,NORTH,BOMBALI
18/09/2014,11:42:37,WEST,WESTERN URBAN
18/09/2014,11:49:28,WEST,WESTERN URBAN
18/09/2014,11:59:01,WEST,WESTERN URBAN
18/09/2014,12:14:12,NORTH,TONKOLILI
18/09/2014,12:32:49,WEST,WESTERN URBAN
18/09/2014,12:45:36,WEST,WESTERN RURAL
18/09/2014,12:53:11,WEST,WESTERN URBAN
18/09/2014,12:57:02,WEST,WESTERN RURAL
18/09/2014,12:58:38,WEST,WESTERN RURAL
18/09/2014,13:02:01,WEST,WESTERN RURAL
18/09/2014,13:03:07,EAST,KENEMA
18/09/2014,13:23:08,WEST,WESTERN URBAN
18/09/2014,13:27:26,WEST,WESTERN URBAN
18/09/2014,13:31:19,WEST,WESTERN URBAN
18/09/2014,13:40:21,WEST,WESTERN URBAN
18/09/2014,13:54:10,WEST,WESTERN URBAN
18/09/2014,14:16:10,WEST,WESTERN URBAN
18/09/2014,14:23:29,WEST,WESTERN URBAN
18/09/2014,14:44:56,WEST,WESTERN URBAN
18/09/2014,14:49:30,EAST,KONO
18/09/2014,14:56:27,NORTH,KAMBIA
18/09/2014,15:00:14,EAST,KENEMA
18/09/2014,15:15:41,NORTH,PORT LOKO
18/09/2014,15:28:00,NORTH,BOMBALI
18/09/2014,15:30:07,NORTH,PORT LOKO
18/09/2014,15:38:07,WEST,WESTERN URBAN
called again on 117 to inform about the ,,,
"death of madam who is located at 46,beach road lumley.He has called on 117 today about the death ",,,
"of hawa,the surveillance team has not yet taken the blood simple and they are waiting for burial today because the death woman any signs and symptoms of ebola virus disease.",NULL,,
18/09/2014,15:44:42,WEST,WESTERN URBAN
18/09/2014,15:46:14,WEST,WESTERN URBAN
18/09/2014,15:47:18,WEST,WESTERN URBAN
18/09/2014,15:49:45,WEST,WESTERN URBAN
18/09/2014,15:55:02,WEST,WESTERN RURAL
18/09/2014,15:55:11,NORTH,BOMBALI
18/09/2014,15:58:41,WEST,WESTERN RURAL
18/09/2014,16:00:03,WEST,WESTERN URBAN
18/09/2014,16:07:13,NORTH,BOMBALI
18/09/2014,16:08:37,WEST,WESTERN URBAN
18/09/2014,16:10:15,EAST,KENEMA
18/09/2014,16:15:16,NORTH,KOINADUGU
18/09/2014,16:17:12,WEST,WESTERN URBAN
18/09/2014,16:17:19,WEST,WESTERN URBAN
18/09/2014,16:19:52,EAST,KENEMA
18/09/2014,16:26:08,WEST,WESTERN URBAN
18/09/2014,16:26:50,WEST,WESTERN URBAN
18/09/2014,16:28:17,WEST,WESTERN URBAN
18/09/2014,16:29:01,WEST,WESTERN URBAN
18/09/2014,16:34:02,WEST,WESTERN URBAN
18/09/2014,16:41:13,NORTH,BOMBALI
18/09/2014,16:41:21,EAST,KENEMA
18/09/2014,16:57:48,WEST,WESTERN RURAL
18/09/2014,16:59:28,WEST,WESTERN URBAN
18/09/2014,17:01:17,NORTH,BOMBALI
18/09/2014,17:02:20,WEST,WESTERN RURAL
18/09/2014,17:05:53,WEST,WESTERN URBAN
18/09/2014,17:08:39,WEST,WESTERN URBAN
18/09/2014,17:23:09,SOUTH,MOYAMBA
18/09/2014,17:29:32,NORTH,BOMBALI
18/09/2014,17:30:02,WEST,WESTERN URBAN
18/09/2014,17:38:10,WEST,WESTERN URBAN
18/09/2014,17:38:22,WEST,WESTERN URBAN
18/09/2014,17:42:51,EAST,KAILAHUN
18/09/2014,17:44:50,NORTH,TONKOLILI
18/09/2014,17:48:57,EAST,KENEMA
18/09/2014,17:54:47,EAST,KENEMA
18/09/2014,17:59:22,NORTH,BOMBALI
18/09/2014,18:00:33,NORTH,BOMBALI
